75.5,155,2.05,0.0,0.0,0.0,0.0,0.0,36.5,72.5,120.0,147.0,164.0,191.0,236.0
59.5,172,2.88,0.0,0.0,0.0,0.0,0.0,4.4,31.4,75.4,140.0,169.0,193.0,236.0
90.3,52,0.58,0.0,10.4,26.8,38.2,46.5,50.2,52.5,69.1,72.4,77.6,77.6,89.0
89.2,143,1.61,0.0,0.0,0.0,0.0,2.5,67.5,104.0,128.0,137.0,172.0,189.0,217.0
34.0,25,0.72,0.0,0.0,6.7,11.8,21.5,26.7,27.3,28.8,28.7,28.6,28.6,28.5
62.9,156,2.48,0.0,0.0,0.0,0.0,0.0,5.1,46.9,109.0,136.0,153.0,190.0,215.0
57.1,43,0.76,0.0,0.0,12.1,15.6,31.7,42.4,48.1,53.7,53.7,54.8,54.8,59.1
49.2,77,1.56,0.0,0.0,0.0,0.0,7.0,35.1,57.4,69.7,89.6,94.9,96.6,101.0
65.4,76,1.16,0.0,0.0,0.0,0.0,30.7,54.7,85.6,85.6,85.6,85.6,85.6,86.0
63.4,152,2.40,0.0,0.0,0.0,0.0,0.0,13.1,50.4,106.0,134.0,172.0,183.0,198.0
22.0,55,2.51,0.0,0.0,0.0,0.0,0.0,5.1,14.1,35.1,48.1,58.1,62.1,79.0
62.8,70,1.12,0.0,0.0,2.3,10.6,22.9,44.8,66.1,78.2,85.8,87.1,92.1,101.0
67.6,156,2.31,0.0,0.0,0.0,0.0,0.0,18.1,59.1,113.0,153.0,166.0,173.0,220.0
68.2,63,0.92,0.0,0.0,7.8,14.3,30.2,58.0,65.7,73.4,76.2,78.8,79.2,83.3
49.7,173,3.47,0.0,0.0,0.0,0.0,0.0,0.0,15.9,54.2,95.9,161.0,190.0,232.0
52.0,128,2.46,0.0,0.0,0.0,0.0,0.0,15.3,40.6,71.3,108.0,134.0,151.0,190.0
53.6,128,2.39,0.0,0.0,0.0,0.0,0.0,11.3,45.3,86.7,107.0,135.0,157.0,181.0
61.0,59,0.96,0.0,0.0,5.4,11.5,28.8,46.2,56.0,70.6,77.8,78.3,78.3,80.0
76.3,161,2.12,0.0,0.0,0.0,0.0,0.0,37.0,47.2,127.0,148.0,192.0,200.0,214.0
73.2,46,0.63,0.0,0.0,22.9,30.0,39.8,50.3,55.2,57.1,57.8,58.0,57.8,59.0
